banc_626_edge_list,fafb_783_edge_list,mcns_0.9_edge_list
720575941477142634,720575940635737336,88680
720575941587694404,720575940613640258,38610
720575941533378738,720575940636682095,77524
720575941616253397,720575940648373380,79849
720575941612601107,720575940612730920,71514
720575941541013789,720575940633914707,78241
720575941526929485,720575940623888397,10302
720575941618704255,720575940624248614,82038
720575941570681758,720575940618545638,69536
720575941534695706,720575940622842206,112461
720575941623636220,720575940644680996,11055
720575941688493686,720575940625500734,113412
720575941426380628,720575940645361175,23471
720575941644926113,720575940637792880,79091
720575941578491993,720575940624890037,39244
720575941662120060,720575940628368915,30768
720575941531393995,720575940608555868,73748
720575941481952186,720575940632206649,115573
720575941559965741,720575940645369892,111078
720575941522432587,720575940628636007,73861
720575941572603656,720575940613752086,121181
720575941653311193,720575940630907729,62972
720575941632367291,720575940629884688,89165
720575941489718988,720575940609366574,72432
720575941502473559,720575940628301830,134277
720575941501670891,720575940610650414,122273
720575941544369852,720575940628850475,73253
720575941497865890,720575940621820001,62147
720575941527525798,720575940620486209,33861
720575941404845424,720575940630220844,87577
720575941533371736,720575940636050318,44633
720575941650569457,720575940646921860,88433
720575941413070737,720575940635330411,61506
720575941513840218,720575940613905645,82282
720575941686969100,720575940625155884,96820
720575941563592087,720575940621422597,78162
720575941351325232,720575940618519526,92404
720575941701468122,720575940614606573,109732
720575941459170003,720575940652820214,70402
720575941686801270,720575940627687576,35349
720575941625765019,720575940622880094,47670
720575941626202169,720575940620851695,110987
720575941688861659,720575940639958131,107072
720575941547957565,720575940610489668,84422
720575941603625913,720575940641322485,78038
720575941524848484,720575940631747023,70838
720575941538518733,720575940624775159,68167
720575941654215892,720575940626168348,109593
720575941578379345,720575940627496847,53242
720575941410758511,720575940618214484,80989
720575941440373339,720575940613047794,77280
720575941598933289,720575940630514243,44636
720575941521280691,720575940615393447,32963
720575941592991190,720575940611642517,79583
720575941517158060,720575940625130248,84116
720575941574347702,720575940627177334,87514
720575941626342457,720575940626814512,66986
720575941494464199,720575940619069758,58330
720575941522394699,720575940635112729,31487
720575941481862842,720575940620791430,114491
720575941567604270,720575940631180973,90482
720575941644442017,720575940638235482,133349
720575941555387556,720575940638726116,79112
720575941488525621,720575940645110039,83311
720575941457087472,720575940608732252,82498
720575941564846951,720575940614713394,145953
720575941512011473,720575940627128394,72300
720575941585103070,720575940623520648,72378
720575941474197819,720575940636370021,67559
720575941687065718,720575940605821984,108246
720575941525226061,720575940621130367,75408
720575941643976392,720575940612922005,89832
720575941472896554,720575940639234931,94514
720575941435633170,720575940635124075,68982
720575941514350851,720575940606641342,54991
720575941449549149,720575940626811497,66256
720575941507111458,720575940620948095,81517
720575941721542970,720575940615810909,85192
720575941641897573,720575940616436509,109838
720575941475786548,720575940615855254,79108
720575941569219954,720575940610161365,71306
720575941689521816,720575940642534285,542112
720575941436489234,720575940635665844,46735
720575941611650278,720575940614273331,73556
720575941448021941,720575940642464397,96164
720575941514697363,720575940652685046,105565
720575941465596438,720575940627367230,75710
720575941592986070,720575940630877433,63550
720575941550416895,720575940632691231,75508
720575941512183505,720575940639281597,32977
720575941478458592,720575940624401034,57910
720575941509238226,720575940627099322,85520
720575941593611557,720575940650618870,78773
720575941661857660,720575940622314166,86333
720575941513169219,720575940634629857,103111
720575941400183075,720575940617101213,117551
720575941473191210,720575940633443103,80442
720575941434752544,720575940612917362,77972
720575941587280196,720575940622805469,77520
720575941475183409,720575940609221641,82249
720575941469690891,720575940627129546,78565
720575941478488170,720575940628615529,75712
720575941403031408,720575940613117554,80563
720575941413646481,720575940614442961,34991
720575941624282826,720575940624077960,83484
720575941558889198,720575940626710300,55057
720575941485394694,720575940614527185,48014
720575941589838988,720575940625826960,77526
720575941513928794,720575940626850058,62072
