banc_626_edge_list,fafb_783_edge_list,mcns_0.9_edge_list
720575941526929485,720575940623888397,10302
720575941431903502,720575940612793457,545048
720575941550688830,720575940605204140,64361
720575941591868267,720575940631266092,84606
720575941624818075,720575940617127307,65908
720575941612127452,720575940618119739,30066
720575941548145213,720575940627458300,50112
720575941563874914,720575940616148074,68044
720575941575635289,720575940614889110,49878
720575941519811251,720575940637952624,55110
720575941574347702,720575940634291863,87097
720575941474247722,720575940630161819,77962
720575941515511395,720575940606363778,80019
720575941558481646,720575940639047487,57463
720575941544705385,720575940610161365,537899
720575941483100870,720575940605830502,32299
720575941570738334,720575940653406966,25444
720575941572249851,720575940628028541,73558
720575941456981232,720575940631167043,76528
720575941538483917,720575940631105910,91033
720575941474065467,720575940611913938,82724
720575941593356325,720575940613139418,86713
720575941641897573,720575940627356547,81733
720575941533337322,720575940612821653,47791
720575941554258916,720575940621150061,125171
720575941485162306,720575940605074144,30370
720575941484929798,720575940645983342,16474
720575941540847964,720575940609221641,142480
720575941469690891,720575940622842206,547647
720575941686619916,720575940623608361,68204
720575941587883332,720575940629884571,61887
720575941524848484,720575940621971327,95176
720575941489113801,720575940641791989,66106
720575941411078827,720575940630975831,60519
720575941509969874,720575940611114981,77437
720575941457697183,720575940629672041,68388
720575941434330656,720575940623421951,66349
720575941391988374,720575940630493822,55408
720575941439853503,720575940625362952,71143
720575941530054091,720575940618713157,76149
720575941470647104,720575940612986390,67827
720575941606242413,720575940609366574,90890
720575941514697363,720575940618875805,72592
720575941536428008,720575940623635848,54819
720575941527389094,720575940617046201,44239
720575941475960641,720575940628850475,92027
720575941459876051,720575940630770370,34146
720575941437506623,720575940645232750,93680
720575941596800156,720575940616715381,64577
720575941465596438,720575940630919895,64461
720575941466209814,720575940632063289,100390
720575941438279999,720575940624626215,83662
720575941473085994,720575940613766381,80861
720575941596542620,720575940615348135,97915
720575941506891905,720575940629930110,101749
720575941489971943,720575940606738622,80811
720575941562889984,720575940622374035,73001
720575941573573897,720575940627356682,90234
720575941501891211,720575940624460691,81855
720575941475183409,720575940622666504,73136
720575941459257043,720575940616332354,131329
720575941701219034,720575940631618809,66986
720575941572727453,720575940631138103,85595
720575941522655991,720575940605349804,86777
720575941518966382,720575940620511493,63178
720575941525224217,720575940632771385,97300
720575941481947834,720575940630877689,62669
720575941469779723,720575940627907859,80108
720575941574358927,720575940643981728,37158
720575941611356892,720575940625536696,70800
720575941479010922,720575940607940226,85520
720575941588843063,720575940614721534,123126
720575941701333978,720575940610697006,111565
720575941416359708,720575940617562763,47017
720575941497768673,720575940610071108,77190
720575941451784826,720575940624891284,67302
720575941641843045,720575940612798899,99230
720575941652317969,720575940631432552,100735
720575941650346517,720575940609237973,52059
720575941476935018,720575940636893582,68224
720575941609375050,720575940612437234,86309
720575941410612395,720575940641730189,60726
720575941506502494,720575940623801127,68986
720575941488653365,720575940627783817,84422
720575941486021584,720575940614233767,77732
720575941436361772,720575940623264611,39244
720575941643605960,720575940626130215,77972
720575941410907759,720575940620324056,67026
720575941657318168,720575940618568449,87616
720575941544575420,720575940612031090,98726
720575941721542970,720575940617821657,105205
720575941557052068,720575940621888862,81064
720575941473575483,720575940625739085,82827
720575941650571505,720575940610558930,75748
720575941495399552,720575940613523685,132339
720575941553244673,720575940638562630,65266
720575941505785623,720575940616888662,85948
720575941731343403,720575940640021838,57873
