banc_626_edge_list,fafb_783_edge_list,mcns_0.9_edge_list
720575941590917886,720575940632427603,10847
720575941688977932,720575940639209956,10029
720575941526929485,720575940623888397,10302
720575941506102588,720575940621116807,10009
720575941521346487,720575940613065130,10046
720575941554292251,720575940640851363,10260
720575941556525028,720575940627497244,13079
720575941604300790,720575940638900713,10531
720575941408568750,720575940608545219,10518
720575941514047052,720575940631758393,12513
720575941474101344,720575940624547622,10990
720575941573203272,720575940627502338,10082
720575941561381933,720575940625102224,10860
720575941670479537,720575940609598475,14486
720575941600847145,720575940613455986,11260
720575941477116721,720575940629148007,10372
720575941569338362,720575940626246525,11130
720575941645792968,720575940607635913,10696
720575941569365242,720575940610640482,10679
720575941596245873,720575940628346634,10066
720575941645236600,720575940623444044,10503
720575941450922318,720575940631945815,10865
720575941431062959,720575940632469290,10415
720575941612188589,720575940618165393,10362
720575941441243071,720575940622186305,10611
720575941542866973,720575940635119723,10158
720575941416653084,720575940630501228,10172
720575941535140362,720575940623050334,522310
720575941441633883,720575940622997453,11181
720575941447863316,720575940620464321,800268
720575941435549582,720575940625741287,10118
